longitude,latitude
-106.9872222,38.8697222
-95.9925,36.1538889
-109.2908333,34.1111111
-76.5838889,36.7280556
-117.9136111,33.8352778
-77.945,34.2255556
-77.5638889,39.1155556
-86.895,41.7075
-122.0311111,37.3230556
-78.7441667,42.7675
-76.8847222,40.2736111
-81.5269444,41.5930556
-82.6958333,34.3769444
-73.6288889,41.0263889
-79.975,32.8544444
-77.1875,38.7891667
-73.2052778,41.1669444
-122.5691667,45.4077778
-100.4366667,31.4636111
-72.6441667,41.8525
-89.6961111,41.7886111
-122.2008333,47.9791667
-110.6197222,35.8752778
-73.7566667,42.6525
-117.9405556,33.7738889
-80.1938889,25.7738889
-73.6922222,42.7283333
-108.2180556,36.7280556
-112.315,34.61
-79.3758333,42.0963889
-71.4666667,41.55
-72.0788889,41.35
-77.3736111,37.6086111
-72.6511111,41.5622222
-81.7983333,41.4819444
-76.7280556,39.9625
-100.765,41.1238889
-84.0866667,39.5297222
-73.2052778,41.1669444
-117.1563889,32.7152778
-83.0302778,42.5802778
-76.1477778,43.0480556
-76.1477778,43.0480556
-104.8208333,38.8338889
-87.63,32.9975
-74.0063889,40.7141667
-106.7777778,32.3122222
-88.9330556,37.7305556
-121.8938889,37.3394444
-112.0733333,33.4483333
-120.5047222,46.6022222
-97.7427778,30.2669444
-83.2841667,36.3436111
-123.095,46.8219444
-74.15,41.1147222
-116.4119444,33.7397222
-82.7638889,28.0777778
-90.1977778,38.6272222
-81.7822222,40.9780556
-73.1113889,44.4905556
-90.2416667,29.9938889
-84.2866667,39.7463889
-71.4402778,42.7647222
-83.63,42.9275
-93.3361111,44.7791667
-83.0277778,42.4775
-83.4822222,42.3086111
-80.3522222,39.1611111
-71.4402778,42.7647222
-80.0944444,26.9338889
-83.7802778,42.5294444
-93.5030556,44.9133333
-90.5002778,38.3708333
-89.9247222,41.2455556
-89.9247222,41.2455556
-106.6505556,35.0844444
-74.8627778,39.7763889
-117.3952778,33.9533333
-74.0063889,40.7141667
-82.4452778,38.4191667
-81.7838889,36.6336111
-122.515,37.5422222
-66.3880556,18.4463889
-82.6611111,36.5452778
-87.3958333,39.7944444
-68.2044444,44.3875
-121.3705556,38.4088889
-86.3,32.3666667
-118.2427778,34.0522222
-85.6325,41.9438889
-122.6913889,45.2630556
-78.3411111,42.0386111
-78.3411111,42.0386111
-78.3411111,42.0386111
-78.3411111,42.0386111
-93.1638889,36.6230556
-117.7347222,40.9730556
-122.7083333,42.1947222
-96.9763889,37.6866667
-95.6961111,30.3880556
-93.7377778,36.4011111
-87.9888889,41.9316667
-75.9111111,43.9747222
-121.4616667,38.7138889
-118.0319444,33.9791667
-92.6733333,45.1244444
-147.7163889,64.8377778
-104.9841667,39.7391667
-89.8375,31.2516667
-121.06,39.2191667
-84.1052778,40.7425
-93.2980556,37.2152778
-119.8127778,39.5297222
-71.0416667,42.1625
